date,average0,average1,average2,average3,average4,average5,average6,average7,average8,average9,average10,매매가격지수증감률,전세거래활발지수,전세가격변동률
2022-01-03,0.013242570024580139,-0.003066235848665409,0.0005907111565020282,0.015100365248626055,0.003181753742335214,0.008848611231272393,0.0005221166805712079,0.001765361425788967,0.005709142946298045,0.0005004910412117377,0.004932125320656467,0.050725123,7.059524,0.075673972
2022-01-10,0.011161637184570836,-0.0032941845562359092,-0.005977878966052328,0.012535738951194862,0.009314950812037422,0.004830882867912226,-0.0007380895182836938,0.003196442040858954,0.004959531400968739,0.0010746571764833211,0.005281559780364333,0.032388327,8.809262,0.055243502
2022-01-17,0.00439930261138811,-0.002942783979704861,-0.002285293437820565,0.007716051571949358,0.007932357025903442,0.008697676101071028,0.0020990312349883234,0.00037599551225105294,0.0046089341275908444,0.002388468481310282,0.0026897828188952888,0.03350038,9.908207,0.04823132
2022-01-24,0.007027946143762495,-0.0030167263244470274,-0.003991926684401527,0.013944783916853451,0.006680255127565285,0.006805665353738085,0.0009123871671044171,0.0020952790470182624,0.0034317414660988356,0.0017198861885585187,0.003522939417075524,0.026438543,9.956578,0.030707859
2022-02-07,0.01136054808459185,-0.002490564175267344,-0.0005813687974054744,0.015508221894680627,0.005114863256613498,0.0051287204838038345,0.00046934422829015724,0.0005058560269698768,0.004331550308238217,0.0019750383689330756,0.006590248966072393,0.02000049,9.862138,0.013768459
2022-02-14,0.007504815632035824,-0.0044395957387867654,-0.0032400954946483237,0.011296238900005135,0.0016410273112095095,0.006058230642181009,-0.0002127442068530572,0.001651831027989228,0.002433459973207562,0.002445160391532416,0.0030062092081291764,0.012038164,10.35764,0.016475522
2022-02-21,0.005176408362889612,-0.003060819470804146,-0.006140411853141132,0.013392008343584212,0.0004259062763749597,0.0034486492782829247,-0.0013903405802941258,0.0017362223855162744,0.0034392003037138795,0.003150505960635634,0.0028335543697781858,0.012311532,10.981409,-0.021917521
2022-02-28,0.008849179930298606,0.005416160143539985,-6.17295644599179e-05,0.010208219201222528,0.007686062198159497,0.009923737351900998,0.005888237472078756,0.0023456849583828143,0.006815018568964669,0.00465172477416536,0.0024583626314284403,0.014784755,8.372444,-0.003079222
2022-03-07,0.008507752940569518,0.013559540490195723,0.012111466989534012,0.01424355744480758,0.01118567047815911,0.018123955085614228,0.006478142628987845,0.004879755674331153,0.013216261542228198,0.006162183728875268,0.00548795384882873,0.013317045,8.112955,-0.004710783
2022-03-14,0.018283246496252067,0.009811506491954943,0.006290474370641296,0.00757049116430516,0.007625847129850765,0.011128295022313947,0.0058338427253221015,0.003680092100600269,0.017997996501184204,0.006393848698736373,0.004491501152630396,0.014180216,10.338681,0.007695883
2022-03-21,0.013553107224749584,0.012084400235600498,0.011701838109453489,0.011949230598298373,0.006800719088593495,0.018891553036324803,0.005710327102864049,0.005333364569076905,0.013237580209254592,0.0065658021053503005,0.005181243607193379,0.015765877,8.444408,0.014659219
2022-03-28,0.014496403597126428,0.01402600780550303,0.007088367606758224,0.0066669807429678655,0.005187318825857824,0.01175493961304561,0.005547767449711803,0.005037705755777237,0.012664084285408984,0.005348147459247345,0.0040927865009132685,0.023839447,12.412271,0.006214931
2022-04-04,0.013442000031318605,0.01527389216623433,0.011257578594454387,0.010010941797009622,0.009996416185083035,0.012928175424764751,0.007208712505188154,0.004024729751560756,0.011177375139018345,0.005065958201728187,0.007581490848384745,0.033471693,10.85790745,0.009913052
2022-04-11,0.022363705421902955,0.016372621617314186,0.008510180297367342,0.007687050691770408,0.009673721768337307,0.012160020128486182,0.007411370577359679,0.004619194125944198,0.010703510034956527,0.0067930076865137115,0.006007502926764362,0.036354225,11.57821263,0.034137311
2022-04-18,0.013063837012537998,0.015080479862822876,0.010102876670336127,0.012237318599031103,0.0049384475925019905,0.010151491155594548,0.006888833699182837,0.004355342042948465,0.009333585378939104,0.007940564258143698,0.0038120936293252654,0.042082653,10.90990518,0.046192838
2022-04-25,0.009488126908527083,0.007065710323579933,0.0034600913778943285,0.010003111621622639,0.00555915106538058,0.004958029363496607,0.003236266494896411,0.0019671049677510446,0.007396328704619917,0.004853956578976816,0.004658827802836549,0.042281279,11.48827214,0.038399664
2022-05-02,0.01436928496760255,0.006652566274387713,0.002869120922863842,0.012767149191637628,0.00868250102406755,0.003920780849724631,0.003519391703407074,0.001987181424965929,0.008715310421699082,0.005033107372380428,0.00271401952382284,0.052842993,10.75675414,0.038599636
2022-05-09,0.01137814827541196,0.006317198217540334,0.0005493191611227472,0.011583425658765042,0.00948200452048674,0.007927740039732647,0.0028902887112996155,0.003719069933301419,0.008126448660592102,0.0048062410223970635,0.002613138386639787,0.038327408,11.76679935,0.068896956
2022-05-16,0.008041795137471754,0.0009510211914718535,0.000446889732641308,0.004969737323833005,0.003791138751525725,-0.0008775717731937815,0.0016203868174650027,0.002876866572321978,0.005421310852751497,0.001197861727305721,0.00027585106368082014,0.03641136,13.09557234,0.066972569
2022-05-23,-0.007690282052273693,-0.02362471755794357,-0.015653033326127858,-0.008938924011298113,-0.003545836501227771,-0.01435211262525845,-0.007787550246144086,-0.003427047674339472,-0.009870370943466074,-0.007040343731370108,-0.004818845781966148,0.049754848,13.23411058,0.060137516
2022-05-30,-0.010729254613921166,-0.028085316042387218,-0.013311383371529392,-0.00978516669651856,-0.0025381424370853104,-0.016137978378942347,-0.007386844168510397,-0.0037750558198312643,-0.011054991227893433,-0.008649176650855033,-0.004985453742502232,0.038235412,13.85464749,0.047347252
